scene_id,group,group_size,is_ref,night,iou_to_ref,shift,region,token,exact_single,within1_single,lanes_single,exact_A,within1_A,lanes_A,exact_B,within1_B,lanes_B,exact_C,within1_C,lanes_C,exact_D,within1_D,lanes_D,exact_E,within1_E,lanes_E,exact_F,within1_F,lanes_F,exact_G,within1_G,lanes_G
Buan_jongsin_20201021_1530_WED_15m_NH_highway_TW2_rainy_FHD,8,1,True,False,1.0,0.0,Buan,TW2,False,True,1/3,False,True,1/3,False,True,1/3,False,True,1/3,False,True,1/3,False,True,1/3,False,True,1/3,False,True,1/3
Buan_jongsin_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,9,1,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_soju2brdg_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD,10,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_soju2brdg_20201020_1300_TUE_15m_NH_highway_TW2_sunny_FHD,11,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view1,12,1,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_soju2brdg_20201021_0830_WED_15m_NH_highway_TW2_sunny_FHD__view0,13,1,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_soju2brdg_20201021_1330_WED_15m_NH_highway_TW2_sunny_FHD,14,1,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_yeji_20201019_1600_MON_15m_NH_highway_TW2_sunny_FHD,15,3,True,False,1.0,0.0,Buan,TW2,False,True,3/1,False,True,3/1,False,True,3/2,False,True,3/1,False,True,3/2,False,True,3/1,False,True,3/2,False,True,3/1
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view0,15,3,False,False,0.912,1.1,Buan,TW2,False,True,2/3,False,True,3/1,False,True,3/2,False,True,3/1,False,True,3/2,False,True,3/1,False,True,3/2,False,True,3/1
Buan_yeji_20201021_0730_WED_15m_NH_highway_TW2_sunny_FHD,15,3,False,False,0.928,1.0,Buan,TW2,True,True,2/2,False,True,3/1,False,True,3/2,False,True,3/1,False,True,3/2,False,True,3/1,False,True,3/2,False,True,3/1
Buan_yeji_20201021_1730_WED_15m_NH_highway_TW2_rainy_FHD,16,3,True,False,1.0,0.0,Buan,TW2,False,True,3/2,False,True,3/2,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_yeji_20201021_1230_WED_15m_NH_highway_TW2_sunny_FHD__view1,16,3,False,False,0.961,0.2,Buan,TW2,False,True,2/3,False,True,3/2,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_yeji_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,16,3,False,False,0.782,0.0,Buan,TW2,True,True,2/2,False,True,3/2,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view0,17,3,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_yulchon_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,17,3,False,False,0.816,0.3,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_yulchon_20201021_1500_WED_15m_NH_highway_TW2_sunny_FHD,17,3,False,False,0.81,36.7,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD,18,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view1,19,1,True,False,1.0,0.0,Buan,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Busan_busanportbrdg1_20201029_1330_THU_8m_NH_highway_TW2_sunny_FHD,20,2,True,False,1.0,0.0,Busan,TW2,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3,False,False,2/4,False,True,2/3
Busan_busanportbrdg1_20201028_1300_TUE_8m_NH_highway_TW2_sunny_FHD,20,2,False,False,0.989,0.8,Busan,TW2,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3,False,False,2/4,False,True,2/3
Busan_busanportbrdg1_20201027_1430_TUE_8m_NH_highway_TW2_sunny_FHD,21,2,True,False,1.0,0.0,Busan,TW2,False,True,2/3,False,True,2/3,True,True,2/2,True,True,2/2,False,True,2/3,False,False,2/4,False,False,2/4,False,False,2/4
Busan_busanportbrdg1_20201119_1230_THU_8m_NH_highway_TW2_rainy_FHD,21,2,False,False,0.972,34.8,Busan,TW2,False,True,2/3,False,True,2/3,True,True,2/2,True,True,2/2,False,True,2/3,False,False,2/4,False,False,2/4,False,False,2/4
Busan_busanportbrdg2_20201029_1630_THU_8m_NH_highway_TW3_sunny_FHD,22,2,True,False,1.0,0.0,Busan,TW3,False,True,3/2,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/4,False,True,3/2
Busan_busanportbrdg2_20201029_1130_THU_8m_NH_highway_TW3_sunny_FHD,22,2,False,False,0.988,1.1,Busan,TW3,True,True,3/3,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/4,False,True,3/2
Busan_busanportbrdg2_20201028_1400_TUE_8m_NH_highway_TW3_sunny_FHD,23,2,True,False,1.0,0.0,Busan,TW3,True,True,3/3,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/3,False,True,2/3,True,True,3/3,False,True,2/3
Busan_busanportbrdg2_20201027_1630_TUE_8m_NH_highway_TW3_sunny_FHD,23,2,False,False,0.979,39.0,Busan,TW3,True,True,3/3,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/3,False,True,2/3,True,True,3/3,False,True,2/3
Busan_busanportbrdg3_20201119_1030_THU_8m_NH_highway_TW3_rainy_FHD,24,5,True,False,1.0,0.0,Busan,TW3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Busan_busanportbrdg3_20201028_1600_TUE_8m_NH_highway_TW3_sunny_FHD,24,5,False,False,0.979,1.4,Busan,TW3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Busan_busanportbrdg3_20201028_1100_TUE_8m_NH_highway_TW3_sunny_FHD,24,5,False,False,0.98,0.7,Busan,TW3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Busan_busanportbrdg3_20201029_1330_THU_8m_NH_highway_TW3_sunny_FHD,24,5,False,False,0.982,1.7,Busan,TW3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Busan_busanportbrdg3_20201027_1300_TUE_8m_NH_highway_TW3_sunny_FHD,24,5,False,False,0.979,5.0,Busan,TW3,False,True,3/2,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,25,5,True,False,1.0,0.0,Busan,TW3,False,True,2/4,False,True,2/4,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/4,True,True,3/3,False,True,2/4
Busan_busanportbrdg4_20201028_1300_TUE_8m_NH_highway_TW3_sunny_FHD,25,5,False,False,0.965,1.4,Busan,TW3,False,True,3/4,False,True,2/4,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/4,True,True,3/3,False,True,2/4
Busan_busanportbrdg4_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,25,5,False,False,0.959,3.9,Busan,TW3,True,True,3/3,False,True,2/4,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/4,True,True,3/3,False,True,2/4
Busan_busanportbrdg4_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,25,5,False,False,0.934,2.4,Busan,TW3,False,True,3/4,False,True,2/4,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/4,True,True,3/3,False,True,2/4
Busan_busanportbrdg4_20201119_1130_THU_8m_NH_highway_TW3_rainy_FHD,25,5,False,False,0.936,4.5,Busan,TW3,False,False,3/5,False,True,2/4,True,True,3/3,False,True,2/3,True,True,3/3,False,True,2/4,True,True,3/3,False,True,2/4
Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,26,4,True,False,1.0,0.0,Busan,TW3,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3
Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,26,4,False,False,0.921,3.0,Busan,TW3,False,True,3/2,False,True,2/3,False,True,3/2,False,True,3/2,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3
Busan_busanportbrdg5_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,26,4,False,False,0.912,3.8,Busan,TW3,False,True,3/2,False,True,2/3,False,True,3/2,False,True,3/2,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3
Busan_busanportbrdg5_20201119_1100_THU_8m_NH_highway_TW3_rainy_FHD,26,4,False,False,0.905,2.6,Busan,TW3,True,True,3/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,2/3,False,True,2/3,False,True,2/3,False,True,2/3
Busan_busanportbrdg6_20201028_1330_TUE_8m_NH_highway_TW3_sunny_FHD,27,5,True,False,1.0,0.0,Busan,TW3,True,True,3/3,True,True,3/3,False,True,3/2,False,True,3/2,False,True,3/2,True,True,3/3,False,True,2/2,True,True,3/3
Busan_busanportbrdg6_20201027_1500_TUE_8m_NH_highway_TW3_sunny_FHD,27,5,False,False,0.97,1.4,Busan,TW3,False,True,3/2,True,True,3/3,False,True,3/2,False,True,3/2,False,True,3/2,True,True,3/3,False,True,2/2,True,True,3/3
Busan_busanportbrdg6_20201119_1230_THU_8m_NH_highway_TW3_rainy_FHD,27,5,False,False,0.961,2.3,Busan,TW3,False,True,3/2,True,True,3/3,False,True,3/2,False,True,3/2,False,True,3/2,True,True,3/3,False,True,2/2,True,True,3/3
Busan_busanportbrdg6_20201029_1500_THU_8m_NH_highway_TW3_sunny_FHD,27,5,False,False,0.973,1.0,Busan,TW3,False,True,3/2,True,True,3/3,False,True,3/2,False,True,3/2,False,True,3/2,True,True,3/3,False,True,2/2,True,True,3/3
Busan_busanportbrdg6_20201029_1000_THU_8m_NH_highway_TW3_sunny_FHD,27,5,False,False,0.971,1.5,Busan,TW3,False,True,3/2,True,True,3/3,False,True,3/2,False,True,3/2,False,True,3/2,True,True,3/3,False,True,2/2,True,True,3/3
Cheonan_gangjeong_20201021_1330_WED_15m_NH_highway_TW3_sunny_FHD,28,1,True,False,1.0,0.0,Cheonan,TW3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_gangjeong_20201019_1730_MON_15m_NH_highway_TW3_sunny_FHD,29,2,True,False,1.0,0.0,Cheonan,TW3,False,False,5,False,False,5,True,True,3/3,False,False,5,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_gangjeong_20201020_1400_TUE_15m_NH_highway_TW3_sunny_FHD,29,2,False,False,0.884,0.2,Cheonan,TW3,False,False,1/3,False,False,5,True,True,3/3,False,False,5,True,True,3/3,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_gangjeong_20201021_0830_WED_15m_NH_highway_TW3_sunny_FHD,30,1,True,False,1.0,0.0,Cheonan,TW3,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4
Cheonan_ogsan_20201020_1600_TUE_15m_RH_highway_TW3_sunny_FHD,31,5,True,False,1.0,0.0,Cheonan,TW3,True,True,3/3,True,True,3/3,False,True,3/2,True,True,3/3,False,True,3/2,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_ogsan_20201020_1100_TUE_15m_RH_highway_TW3_sunny_FHD,31,5,False,False,0.864,0.3,Cheonan,TW3,True,True,3/3,True,True,3/3,False,True,3/2,True,True,3/3,False,True,3/2,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_ogsan_20201021_1000_WED_15m_RH_highway_TW3_sunny_FHD,31,5,False,False,0.853,0.6,Cheonan,TW3,True,True,3/3,True,True,3/3,False,True,3/2,True,True,3/3,False,True,3/2,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_ogsan_20201021_1500_WED_15m_NH_highway_TW3_sunny_FHD,31,5,False,False,0.913,0.8,Cheonan,TW3,True,True,3/3,True,True,3/3,False,True,3/2,True,True,3/3,False,True,3/2,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_ogsan_20201019_1630_MON_15m_RH_highway_TW3_sunny_FHD,31,5,False,False,0.887,9.3,Cheonan,TW3,True,True,3/3,True,True,3/3,False,True,3/2,True,True,3/3,False,True,3/2,True,True,3/3,True,True,3/3,True,True,3/3
Cheonan_sajeong_20201021_1330_WED_15m_NH_highway_TW3_sunny_FHD,32,4,True,False,1.0,0.0,Cheonan,TW3,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4,False,True,4/3,False,True,3/4,False,True,4/3,False,True,4/3
Cheonan_sajeong_20201021_0730_WED_15m_NH_highway_TW3_sunny_FHD,32,4,False,False,0.933,0.0,Cheonan,TW3,True,True,3/3,False,True,3/4,False,True,3/4,False,True,3/4,False,True,4/3,False,True,3/4,False,True,4/3,False,True,4/3
Cheonan_sajeong_20201020_1330_TUE_15m_NH_highway_TW3_sunny_FHD,32,4,False,False,0.91,0.2,Cheonan,TW3,False,True,3/2,False,True,3/4,False,True,3/4,False,True,3/4,False,True,4/3,False,True,3/4,False,True,4/3,False,True,4/3
Cheonan_sajeong_20201019_1730_MON_15m_NH_highway_TW3_sunny_FHD,32,4,False,False,0.937,0.2,Cheonan,TW3,False,True,3/4,False,True,3/4,False,True,3/4,False,True,3/4,False,True,4/3,False,True,3/4,False,True,4/3,False,True,4/3
Cheonan_seongnam2_20201020_1030_TUE_10m_RH_highway_TW3_sunny_FHD,33,5,True,False,1.0,0.0,Cheonan,TW3,False,True,3/2,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Cheonan_seongnam2_20201019_1630_MON_10m_RH_highway_TW3_sunny_FHD,33,5,False,False,0.947,0.6,Cheonan,TW3,True,True,3/3,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Cheonan_seongnam2_20201021_0930_WED_10m_RH_highway_TW3_sunny_FHD,33,5,False,False,0.799,0.2,Cheonan,TW3,True,True,3/3,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Cheonan_seongnam2_20201020_1530_TUE_10m_NH_highway_TW3_sunny_FHD,33,5,False,False,0.958,0.7,Cheonan,TW3,True,True,3/3,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Cheonan_seongnam2_20201021_1430_WED_10m_NH_highway_TW3_sunny_FHD,33,5,False,False,0.873,0.2,Cheonan,TW3,True,True,3/3,False,True,3/2,False,True,2/3,False,True,2/3,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Chungju_chujeomtunnel(changwon)_20201021_1530_WED_15m_NH_highway_OW2_sunny_FHD,34,5,True,False,1.0,0.0,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(changwon)_20201020_1630_TUE_15m_NH_highway_OW2_sunny_FHD,34,5,False,False,0.972,0.2,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(changwon)_20201020_1130_TUE_15m_RH_highway_OW2_sunny_FHD,34,5,False,False,0.974,1.4,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(changwon)_20201019_1730_MON_15m_NH_highway_OW2_sunny_FHD,34,5,False,False,0.973,0.3,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(changwon)_20201021_1030_WED_15m_NH_highway_OW2_sunny_FHD,34,5,False,False,0.982,0.1,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(yangpyeong)_20201020_0730_TUE_15m_NH_highway_OW2_fog_FHD,35,1,True,False,1.0,0.0,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(yangpyeong)_20201021_1130_WED_15m_NH_highway_OW2_sunny_FHD,36,2,True,False,1.0,0.0,Chungju,OW2,True,True,2,True,True,2,False,True,1,False,True,1,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(yangpyeong)_20201021_1630_WED_15m_NH_highway_OW2_sunny_FHD,36,2,False,False,0.98,0.1,Chungju,OW2,False,True,1,True,True,2,False,True,1,False,True,1,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(yangpyeong)_20201020_1230_TUE_15m_RH_highway_OW2_sunny_FHD,37,2,True,False,1.0,0.0,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_chujeomtunnel(yangpyeong)_20201020_1730_TUE_15m_NH_highway_OW2_sunny_FHD,37,2,False,False,0.973,1.5,Chungju,OW2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2,True,True,2
Chungju_danpyeong1brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,38,1,True,False,1.0,0.0,Chungju,TW2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2,False,True,1/2
Chungju_danpyeong1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_FHD,39,1,True,False,1.0,0.0,Chungju,TW2,False,False,3,False,False,3,False,False,3,False,False,3,False,False,3,False,False,3,False,False,3,False,False,3
Chungju_danpyeong1brdg_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,40,2,True,False,1.0,0.0,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,False,True,2/3,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_danpyeong1brdg_20201020_1100_TUE_15m_RH_highway_TW2_sunny_FHD,40,2,False,False,0.849,0.8,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,False,True,2/3,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_jogogli_20201021_1200_WED_15m_NH_highway_TW2_sunny_FHD,41,3,True,False,1.0,0.0,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_jogogli_20201021_1700_WED_15m_NH_highway_TW2_sunny_FHD,41,3,False,False,0.94,0.1,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_jogogli_20201021_0700_WED_15m_NH_highway_TW2_sunny_FHD,41,3,False,False,0.958,0.2,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_jogogli_20201020_1300_TUE_15m_RH_highway_TW2_sunny_FHD,42,2,True,False,1.0,0.0,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_jogogli_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD,42,2,False,False,0.912,0.2,Chungju,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Chungju_sangwoo1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_HD,43,2,True,False,1.0,0.0,Chungju,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Chungju_sangwoo1brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_HD,43,2,False,False,0.944,0.9,Chungju,TW2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2,False,True,3/2
Chungju_sangwoo1brdg_20201020_1130_TUE_15m_RH_highway_TW2_sunny_HD,44,3,True,False,1.0,0.0,Chungju,TW2,False,False,4/2,False,False,4/2,False,True,3/2,False,False,4/2,False,True,3/2,False,False,4/2,True,True,2/2,False,True,3/2
Chungju_sangwoo1brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_HD,44,3,False,False,0.915,9.5,Chungju,TW2,True,True,2/2,False,False,4/2,False,True,3/2,False,False,4/2,False,True,3/2,False,False,4/2,True,True,2/2,False,True,3/2
Chungju_sangwoo1brdg_20201019_2030_MON_15m_NH_highway_TW2_sunny_HD,44,3,False,True,0.775,0.1,Chungju,TW2,False,True,3/3,False,False,4/2,False,True,3/2,False,False,4/2,False,True,3/2,False,False,4/2,True,True,2/2,False,True,3/2
Gangneung_gangdong2brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,45,5,True,False,1.0,0.0,Gangneung,TW2,True,True,2/2,True,True,2/2,False,True,3/2,True,True,2/2,False,True,3/2,True,True,2/2,False,True,2/1,True,True,2/2
Gangneung_gangdong2brdg_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,45,5,False,False,0.791,6.8,Gangneung,TW2,False,True,1/1,True,True,2/2,False,True,3/2,True,True,2/2,False,True,3/2,True,True,2/2,False,True,2/1,True,True,2/2
Gangneung_gangdong2brdg_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,45,5,False,False,0.821,0.2,Gangneung,TW2,False,True,1/1,True,True,2/2,False,True,3/2,True,True,2/2,False,True,3/2,True,True,2/2,False,True,2/1,True,True,2/2
Gangneung_gangdong2brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,45,5,False,False,0.796,7.0,Gangneung,TW2,False,True,1/1,True,True,2/2,False,True,3/2,True,True,2/2,False,True,3/2,True,True,2/2,False,True,2/1,True,True,2/2
Gangneung_gangdong2brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_FHD,45,5,False,False,0.803,6.8,Gangneung,TW2,False,True,1/1,True,True,2/2,False,True,3/2,True,True,2/2,False,True,3/2,True,True,2/2,False,True,2/1,True,True,2/2
Gangneung_hyangho1brdg_20201020_1230_TUE_15m_NH_highway_TW2_sunny_FHD,46,5,True,False,1.0,0.0,Gangneung,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
Gangneung_hyangho1brdg_20201020_0730_TUE_15m_NH_highway_TW2_sunny_FHD,46,5,False,False,0.97,0.9,Gangneung,TW2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2,True,True,2/2
