scene_id,n_views,clip_id,camera,token,weather,ok,n_carriageways,geo_two_way,two_way_match,main_lanes,lane_exact,lane_within1,lane_source,vp_support,n_points
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view0,2,Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_yulchon,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,1.0,165
Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD__view1,2,Buan_yulchon_20201020_1100_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_yulchon,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.841,95
Buan_yulchon_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,1,Buan_yulchon_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,Buan_yulchon,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.988,284
Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_yulchon_20201021_1000_WED_15m_NH_highway_TW2_sunny_FHD,Buan_yulchon,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.886,282
Buan_yulchon_20201021_1500_WED_15m_NH_highway_TW2_sunny_FHD,1,Buan_yulchon_20201021_1500_WED_15m_NH_highway_TW2_sunny_FHD,Buan_yulchon,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.928,282
Busan_busanportbrdg1_20201027_1430_TUE_8m_NH_highway_TW2_sunny_FHD,1,Busan_busanportbrdg1_20201027_1430_TUE_8m_NH_highway_TW2_sunny_FHD,Busan_busanportbrdg1,TW2,sunny,True,2,True,True,2/3,False,True,markings/vehicles,0.953,540
Busan_busanportbrdg1_20201028_1300_TUE_8m_NH_highway_TW2_sunny_FHD,1,Busan_busanportbrdg1_20201028_1300_TUE_8m_NH_highway_TW2_sunny_FHD,Busan_busanportbrdg1,TW2,sunny,True,2,True,True,2/3,False,True,markings/vehicles,0.961,308
Busan_busanportbrdg1_20201029_1330_THU_8m_NH_highway_TW2_sunny_FHD,1,Busan_busanportbrdg1_20201029_1330_THU_8m_NH_highway_TW2_sunny_FHD,Busan_busanportbrdg1,TW2,sunny,True,2,True,True,2/3,False,True,markings/vehicles,0.963,486
Busan_busanportbrdg1_20201119_1230_THU_8m_NH_highway_TW2_rainy_FHD,1,Busan_busanportbrdg1_20201119_1230_THU_8m_NH_highway_TW2_rainy_FHD,Busan_busanportbrdg1,TW2,rainy,True,2,True,True,2/3,False,True,markings/vehicles,0.936,483
Busan_busanportbrdg2_20201027_1630_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg2_20201027_1630_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg2,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.767,667
Busan_busanportbrdg2_20201028_1400_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg2_20201028_1400_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg2,TW3,sunny,True,2,True,True,3/3,True,True,vehicles/markings,0.903,621
Busan_busanportbrdg2_20201029_1130_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg2_20201029_1130_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg2,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.882,645
Busan_busanportbrdg2_20201029_1630_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg2_20201029_1630_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg2,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.922,797
Busan_busanportbrdg3_20201027_1300_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg3_20201027_1300_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg3,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.718,664
Busan_busanportbrdg3_20201028_1100_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg3_20201028_1100_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg3,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.983,865
Busan_busanportbrdg3_20201028_1600_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg3_20201028_1600_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg3,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.985,643
Busan_busanportbrdg3_20201029_1330_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg3_20201029_1330_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg3,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.746,940
Busan_busanportbrdg3_20201119_1030_THU_8m_NH_highway_TW3_rainy_FHD,1,Busan_busanportbrdg3_20201119_1030_THU_8m_NH_highway_TW3_rainy_FHD,Busan_busanportbrdg3,TW3,rainy,True,2,True,True,3/3,True,True,markings/markings,0.993,637
Busan_busanportbrdg4_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg4_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg4,TW3,sunny,True,2,True,True,3/3,True,True,markings/vehicles,0.717,801
Busan_busanportbrdg4_20201028_1300_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg4_20201028_1300_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg4,TW3,sunny,True,2,True,True,3/4,False,True,markings/vehicles,0.725,962
Busan_busanportbrdg4_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg4_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg4,TW3,sunny,True,2,True,True,3/4,False,True,markings/vehicles,0.689,701
Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg4_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg4,TW3,sunny,True,2,True,True,2/4,False,True,markings/vehicles,0.791,1142
Busan_busanportbrdg4_20201119_1130_THU_8m_NH_highway_TW3_rainy_FHD,1,Busan_busanportbrdg4_20201119_1130_THU_8m_NH_highway_TW3_rainy_FHD,Busan_busanportbrdg4,TW3,rainy,True,2,True,True,3/5,False,False,markings/vehicles,0.637,1014
Busan_busanportbrdg5_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg5_20201027_1530_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg5,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.828,1802
Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg5_20201029_0930_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg5,TW3,sunny,True,2,True,True,2/3,False,True,markings/markings,0.876,1473
Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg5_20201029_1430_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg5,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.859,1309
Busan_busanportbrdg5_20201119_1100_THU_8m_NH_highway_TW3_rainy_FHD,1,Busan_busanportbrdg5_20201119_1100_THU_8m_NH_highway_TW3_rainy_FHD,Busan_busanportbrdg5,TW3,rainy,True,2,True,True,3/3,True,True,markings/markings,0.766,1771
Busan_busanportbrdg6_20201027_1500_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg6_20201027_1500_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg6,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.795,822
Busan_busanportbrdg6_20201028_1330_TUE_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg6_20201028_1330_TUE_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg6,TW3,sunny,True,3,True,True,3/3,True,True,markings/vehicles,0.802,1187
Busan_busanportbrdg6_20201029_1000_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg6_20201029_1000_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg6,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.597,893
Busan_busanportbrdg6_20201029_1500_THU_8m_NH_highway_TW3_sunny_FHD,1,Busan_busanportbrdg6_20201029_1500_THU_8m_NH_highway_TW3_sunny_FHD,Busan_busanportbrdg6,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.674,975
Busan_busanportbrdg6_20201119_1230_THU_8m_NH_highway_TW3_rainy_FHD,1,Busan_busanportbrdg6_20201119_1230_THU_8m_NH_highway_TW3_rainy_FHD,Busan_busanportbrdg6,TW3,rainy,True,2,True,True,3/2,False,True,markings/markings,0.678,983
Cheonan_gangjeong_20201019_1730_MON_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_gangjeong_20201019_1730_MON_15m_NH_highway_TW3_sunny_FHD,Cheonan_gangjeong,TW3,sunny,True,1,False,False,5,False,False,markings,0.987,2482
Cheonan_gangjeong_20201020_1400_TUE_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_gangjeong_20201020_1400_TUE_15m_NH_highway_TW3_sunny_FHD,Cheonan_gangjeong,TW3,sunny,True,2,True,True,1/3,False,False,markings/markings,0.976,2236
Cheonan_gangjeong_20201021_0830_WED_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_gangjeong_20201021_0830_WED_15m_NH_highway_TW3_sunny_FHD,Cheonan_gangjeong,TW3,sunny,True,2,False,False,3/4,False,True,markings/vehicles,0.452,2601
Cheonan_gangjeong_20201021_1330_WED_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_gangjeong_20201021_1330_WED_15m_NH_highway_TW3_sunny_FHD,Cheonan_gangjeong,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.991,2127
Cheonan_ogsan_20201019_1630_MON_15m_RH_highway_TW3_sunny_FHD,1,Cheonan_ogsan_20201019_1630_MON_15m_RH_highway_TW3_sunny_FHD,Cheonan_ogsan,TW3,sunny,True,4,True,True,3/3,True,True,markings/markings,0.683,1585
Cheonan_ogsan_20201020_1100_TUE_15m_RH_highway_TW3_sunny_FHD,1,Cheonan_ogsan_20201020_1100_TUE_15m_RH_highway_TW3_sunny_FHD,Cheonan_ogsan,TW3,sunny,True,3,True,True,3/3,True,True,markings/markings,0.775,2232
Cheonan_ogsan_20201020_1600_TUE_15m_RH_highway_TW3_sunny_FHD,1,Cheonan_ogsan_20201020_1600_TUE_15m_RH_highway_TW3_sunny_FHD,Cheonan_ogsan,TW3,sunny,True,4,True,True,3/3,True,True,markings/markings,0.89,1706
Cheonan_ogsan_20201021_1000_WED_15m_RH_highway_TW3_sunny_FHD,1,Cheonan_ogsan_20201021_1000_WED_15m_RH_highway_TW3_sunny_FHD,Cheonan_ogsan,TW3,sunny,True,4,True,True,3/3,True,True,markings/markings,0.764,2305
Cheonan_ogsan_20201021_1500_WED_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_ogsan_20201021_1500_WED_15m_NH_highway_TW3_sunny_FHD,Cheonan_ogsan,TW3,sunny,True,4,True,True,3/3,True,True,markings/markings,0.725,2145
Cheonan_sajeong_20201019_1730_MON_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_sajeong_20201019_1730_MON_15m_NH_highway_TW3_sunny_FHD,Cheonan_sajeong,TW3,sunny,True,2,True,True,3/4,False,True,markings/markings,0.518,2103
Cheonan_sajeong_20201020_1330_TUE_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_sajeong_20201020_1330_TUE_15m_NH_highway_TW3_sunny_FHD,Cheonan_sajeong,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.64,1690
Cheonan_sajeong_20201021_0730_WED_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_sajeong_20201021_0730_WED_15m_NH_highway_TW3_sunny_FHD,Cheonan_sajeong,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.68,1470
Cheonan_sajeong_20201021_1330_WED_15m_NH_highway_TW3_sunny_FHD,1,Cheonan_sajeong_20201021_1330_WED_15m_NH_highway_TW3_sunny_FHD,Cheonan_sajeong,TW3,sunny,True,2,True,True,3/4,False,True,markings/markings,0.761,1934
Cheonan_seongnam2_20201019_1630_MON_10m_RH_highway_TW3_sunny_FHD,1,Cheonan_seongnam2_20201019_1630_MON_10m_RH_highway_TW3_sunny_FHD,Cheonan_seongnam2,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.923,1567
Cheonan_seongnam2_20201020_1030_TUE_10m_RH_highway_TW3_sunny_FHD,1,Cheonan_seongnam2_20201020_1030_TUE_10m_RH_highway_TW3_sunny_FHD,Cheonan_seongnam2,TW3,sunny,True,2,True,True,3/2,False,True,markings/markings,0.93,1504
Cheonan_seongnam2_20201020_1530_TUE_10m_NH_highway_TW3_sunny_FHD,1,Cheonan_seongnam2_20201020_1530_TUE_10m_NH_highway_TW3_sunny_FHD,Cheonan_seongnam2,TW3,sunny,True,2,True,True,3/3,True,True,markings/markings,0.87,2217
Cheonan_seongnam2_20201021_0930_WED_10m_RH_highway_TW3_sunny_FHD,1,Cheonan_seongnam2_20201021_0930_WED_10m_RH_highway_TW3_sunny_FHD,Cheonan_seongnam2,TW3,sunny,True,2,False,False,3/3,True,True,markings/markings,0.912,1647
Cheonan_seongnam2_20201021_1430_WED_10m_NH_highway_TW3_sunny_FHD,1,Cheonan_seongnam2_20201021_1430_WED_10m_NH_highway_TW3_sunny_FHD,Cheonan_seongnam2,TW3,sunny,True,2,False,False,3/3,True,True,markings/markings,0.793,2000
Chungju_chujeomtunnel(changwon)_20201019_1730_MON_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(changwon)_20201019_1730_MON_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(changwon),OW2,sunny,True,1,False,True,2,True,True,markings,0.962,307
Chungju_chujeomtunnel(changwon)_20201020_1130_TUE_15m_RH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(changwon)_20201020_1130_TUE_15m_RH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(changwon),OW2,sunny,True,1,False,True,2,True,True,markings,0.976,134
Chungju_chujeomtunnel(changwon)_20201020_1630_TUE_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(changwon)_20201020_1630_TUE_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(changwon),OW2,sunny,True,1,False,True,2,True,True,markings,0.977,300
Chungju_chujeomtunnel(changwon)_20201021_1030_WED_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(changwon)_20201021_1030_WED_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(changwon),OW2,sunny,True,1,False,True,2,True,True,markings,0.945,308
Chungju_chujeomtunnel(changwon)_20201021_1530_WED_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(changwon)_20201021_1530_WED_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(changwon),OW2,sunny,True,1,False,True,2,True,True,markings,0.98,261
Chungju_chujeomtunnel(yangpyeong)_20201020_0730_TUE_15m_NH_highway_OW2_fog_FHD,1,Chungju_chujeomtunnel(yangpyeong)_20201020_0730_TUE_15m_NH_highway_OW2_fog_FHD,Chungju_chujeomtunnel(yangpyeong),OW2,fog,True,1,False,True,2,True,True,markings,0.986,175
Chungju_chujeomtunnel(yangpyeong)_20201020_1230_TUE_15m_RH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(yangpyeong)_20201020_1230_TUE_15m_RH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(yangpyeong),OW2,sunny,True,1,False,True,2,True,True,markings,0.926,267
Chungju_chujeomtunnel(yangpyeong)_20201020_1730_TUE_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(yangpyeong)_20201020_1730_TUE_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(yangpyeong),OW2,sunny,True,1,False,True,2,True,True,markings,0.87,203
Chungju_chujeomtunnel(yangpyeong)_20201021_1130_WED_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(yangpyeong)_20201021_1130_WED_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(yangpyeong),OW2,sunny,True,1,False,True,2,True,True,markings,0.943,131
Chungju_chujeomtunnel(yangpyeong)_20201021_1630_WED_15m_NH_highway_OW2_sunny_FHD,1,Chungju_chujeomtunnel(yangpyeong)_20201021_1630_WED_15m_NH_highway_OW2_sunny_FHD,Chungju_chujeomtunnel(yangpyeong),OW2,sunny,True,1,False,True,1,False,True,markings,0.941,225
Chungju_danpyeong1brdg_20201020_1100_TUE_15m_RH_highway_TW2_sunny_FHD,1,Chungju_danpyeong1brdg_20201020_1100_TUE_15m_RH_highway_TW2_sunny_FHD,Chungju_danpyeong1brdg,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.931,2010
Chungju_danpyeong1brdg_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,1,Chungju_danpyeong1brdg_20201020_1600_TUE_15m_NH_highway_TW2_sunny_FHD,Chungju_danpyeong1brdg,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.948,1428
Chungju_danpyeong1brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,1,Chungju_danpyeong1brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_FHD,Chungju_danpyeong1brdg,TW2,sunny,True,2,True,True,1/2,False,True,markings/markings,0.978,1657
Chungju_danpyeong1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_FHD,1,Chungju_danpyeong1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_FHD,Chungju_danpyeong1brdg,TW2,sunny,True,1,False,False,3,False,False,markings,0.978,1757
Chungju_jogogli_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD,1,Chungju_jogogli_20201020_0800_TUE_15m_NH_highway_TW2_fog_FHD,Chungju_jogogli,TW2,fog,True,2,True,True,2/2,True,True,markings/markings,0.953,381
Chungju_jogogli_20201020_1300_TUE_15m_RH_highway_TW2_sunny_FHD,1,Chungju_jogogli_20201020_1300_TUE_15m_RH_highway_TW2_sunny_FHD,Chungju_jogogli,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.971,585
Chungju_jogogli_20201021_0700_WED_15m_NH_highway_TW2_sunny_FHD,1,Chungju_jogogli_20201021_0700_WED_15m_NH_highway_TW2_sunny_FHD,Chungju_jogogli,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.952,315
Chungju_jogogli_20201021_1200_WED_15m_NH_highway_TW2_sunny_FHD,1,Chungju_jogogli_20201021_1200_WED_15m_NH_highway_TW2_sunny_FHD,Chungju_jogogli,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.983,804
Chungju_jogogli_20201021_1700_WED_15m_NH_highway_TW2_sunny_FHD,1,Chungju_jogogli_20201021_1700_WED_15m_NH_highway_TW2_sunny_FHD,Chungju_jogogli,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.98,880
Chungju_sangwoo1brdg_20201019_2030_MON_15m_NH_highway_TW2_sunny_HD,1,Chungju_sangwoo1brdg_20201019_2030_MON_15m_NH_highway_TW2_sunny_HD,Chungju_sangwoo1brdg,TW2,sunny,True,2,True,True,3/3,False,True,markings/vehicles,0.805,620
Chungju_sangwoo1brdg_20201020_1130_TUE_15m_RH_highway_TW2_sunny_HD,1,Chungju_sangwoo1brdg_20201020_1130_TUE_15m_RH_highway_TW2_sunny_HD,Chungju_sangwoo1brdg,TW2,sunny,True,2,True,True,4/2,False,False,markings/markings,0.708,1953
Chungju_sangwoo1brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_HD,1,Chungju_sangwoo1brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_HD,Chungju_sangwoo1brdg,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.554,2487
Chungju_sangwoo1brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_HD,1,Chungju_sangwoo1brdg_20201021_1030_WED_15m_NH_highway_TW2_sunny_HD,Chungju_sangwoo1brdg,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.738,1586
Chungju_sangwoo1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_HD,1,Chungju_sangwoo1brdg_20201021_1530_WED_15m_NH_highway_TW2_sunny_HD,Chungju_sangwoo1brdg,TW2,sunny,True,2,True,True,3/2,False,True,markings/markings,0.744,1546
Gangneung_gangdong2brdg_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,1,Gangneung_gangdong2brdg_20201019_1730_MON_15m_NH_highway_TW2_sunny_FHD,Gangneung_gangdong2brdg,TW2,sunny,True,2,True,True,1/1,False,True,markings/markings,0.89,456
Gangneung_gangdong2brdg_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,1,Gangneung_gangdong2brdg_20201020_1130_TUE_15m_NH_highway_TW2_sunny_FHD,Gangneung_gangdong2brdg,TW2,sunny,True,2,True,True,1/1,False,True,markings/markings,0.86,344
Gangneung_gangdong2brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,1,Gangneung_gangdong2brdg_20201020_1630_TUE_15m_NH_highway_TW2_sunny_FHD,Gangneung_gangdong2brdg,TW2,sunny,True,2,True,True,2/2,True,True,markings/markings,0.893,656
